african _ 1 ,alexandrine _ 1 ,civil _ 1 ,civil _ 2 ,civil _ 3 ,gallic _ 1 ,gallic _ 2 ,gallic _ 3 ,gallic _ 4 ,gallic _ 5 ,gallic _ 6 ,gallic _ 7 ,gallic _ 8 ,spanish _ 1 
0,0.11671003028930427,0.28103801917481364,0.2341510318411053,0.17850814611213361,0.17411988588594807,0.38843519098703094,0.36198797117736536,0.3431777240971212,0.17546559263106343,0.4187912211694236,0.25058478023546316,0.19520723410783392,0.20364011924180914
0.11671003028930427,0,0.29110259769758495,0.24977698865375042,0.15480364028488314,0.15596568603530825,0.3986475917706581,0.3604746698571404,0.3790518059542446,0.20760359255833793,0.48497084964671544,0.2768111545936419,0.15734267967787263,0.23353915300484784
0.28103801917481364,0.29110259769758495,0,0.09398841677797576,0.5411456688893539,0.4260998990703745,0.586322888371824,0.37881664533115167,0.46060996537053245,0.09541233757376355,0.08822321963552116,0.08624631968977337,0.13092227455570138,0.4451053878712212
0.2341510318411053,0.24977698865375042,0.09398841677797576,0,0.4110486734588594,0.3444049188375723,0.3934112152672472,0.2721088055732591,0.29866639922997973,0.08838982040373355,0.14691061012224882,0.07399175520467915,0.19501630662510272,0.26870972984079156
0.17850814611213361,0.15480364028488314,0.5411456688893539,0.4110486734588594,0,0.18127433332106768,0.24641672115498303,0.39171826275219224,0.2723139176755447,0.40551059984687,0.7188522748486915,0.4561160978352843,0.3996249153470486,0.15240936141716888
0.17411988588594807,0.15596568603530825,0.4260998990703745,0.3444049188375723,0.18127433332106768,0,0.22313863875621676,0.24956885313724964,0.22552828073764164,0.2681257400140432,0.5097038143274812,0.28613356149666525,0.22121877592943762,0.17741159752424762
0.38843519098703094,0.3986475917706581,0.586322888371824,0.3934112152672472,0.24641672115498303,0.22313863875621676,0,0.15408214689002397,0.11131872729555392,0.4498784927998126,0.6017169291728712,0.37974626848862525,0.49782714377820714,0.17751118671118504
0.36198797117736536,0.3604746698571404,0.37881664533115167,0.2721088055732591,0.39171826275219224,0.24956885313724964,0.15408214689002397,0,0.1396753035462872,0.3086944975279141,0.3645924470062436,0.2195210097327991,0.315765341813359,0.27566845617917335
0.3431777240971212,0.3790518059542446,0.46060996537053245,0.29866639922997973,0.2723139176755447,0.22552828073764164,0.11131872729555392,0.1396753035462872,0,0.3076932653939257,0.4510802568265405,0.2631337952795786,0.40770535725742285,0.17583585590866524
0.17546559263106343,0.20760359255833793,0.09541233757376355,0.08838982040373355,0.40551059984687,0.2681257400140432,0.4498784927998126,0.3086944975279141,0.3076932653939257,0,0.1427250915794407,0.06229605699347607,0.12169902922269327,0.31971528865727694
0.4187912211694236,0.48497084964671544,0.08822321963552116,0.14691061012224882,0.7188522748486915,0.5097038143274812,0.6017169291728712,0.3645924470062436,0.4510802568265405,0.1427250915794407,0,0.1037704990679974,0.2390201455566382,0.5284999230350846
0.25058478023546316,0.2768111545936419,0.08624631968977337,0.07399175520467915,0.4561160978352843,0.28613356149666525,0.37974626848862525,0.2195210097327991,0.2631337952795786,0.06229605699347607,0.1037704990679974,0,0.12594061669285495,0.2955960595395358
0.19520723410783392,0.15734267967787263,0.13092227455570138,0.19501630662510272,0.3996249153470486,0.22121877592943762,0.49782714377820714,0.315765341813359,0.40770535725742285,0.12169902922269327,0.2390201455566382,0.12594061669285495,0,0.3843654950762776
0.20364011924180914,0.23353915300484784,0.4451053878712212,0.26870972984079156,0.15240936141716888,0.17741159752424762,0.17751118671118504,0.27566845617917335,0.17583585590866524,0.31971528865727694,0.5284999230350846,0.2955960595395358,0.3843654950762776,0
