title,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,NUM,PRON,SCONJ,VERB,Imp,Perf,Prosp,Sub,Imperative,Indicative,Plur,Sing,1,2,3,Fut,Past,Pqp,Pres,Fin,Inf,Part,Abl,Acc,Dat,Gen,Loc,Nom,Con,Dem,Ind,Int,Prs,Rel,Tot,Fem,Masc,Neut
gallic_1,67.42476453020906,80.97863542384563,53.2965770732828,24.92533884677234,57.661382954284406,62.6005053985757,271.30714449804736,8.385021824029405,79.0259591086607,45.60073512520101,201.35538708936366,134.39007580978637,85.2285779921893,6.66207213416035,50.1952676315185,0,69.03285090742017,238.9156903285091,396.3932919825408,0.45945325063174824,0.3445899379738112,169.30852285779923,0.3445899379738112,77.99218929473926,6.891798759476224,33.99954054674937,119.3429818515966,51.11417413278199,55.82356995175741,150.47093958189754,180.1056742476453,19.641626464507237,61.6815988973122,0,122.4442912933609,4.824259131633356,21.594302779692168,11.830921203767517,1.95267631518493,67.76935446818287,43.87778543533196,9.763381575924651,151.504709395819,253.5033310360671,110.49850677693546
gallic_2,66.39748766262899,92.64244055630328,42.84432480933154,21.310004486316735,65.05159264244055,70.21085688649619,286.6756393001346,13.010318528488112,64.15432929564828,34.54463885150292,199.19246298788696,116.19560340960072,94.43696724988784,9.86989681471512,37.90937640197398,0,73.12696276357111,321.8932256617317,329.29564827276806,2.018842530282638,0.2243158366980709,144.45939883355766,0,85.91296545536116,4.262000897263347,20.861372812920592,111.0363391655451,44.63885150291611,64.82727680574249,178.55540601166445,170.48003589053388,13.234634365186183,62.58411843876178,0,126.28981606101391,4.93494840735756,21.085688649618664,17.048003589053387,1.1215791834903546,52.93853746074473,45.31179901301032,12.56168685509197,162.85329744279946,244.95289367429342,132.12202781516376
gallic_3,70.55134570159395,77.34517899137707,59.57669192579044,20.12019858897309,70.29004442121767,65.32532009406847,286.1249020120199,6.009929448654299,61.144499608048086,35.27567285079697,209.30232558139537,124.64071073948264,93.28455709432977,11.49725633655605,36.582179252678344,0,78.12908283250589,319.31016461980664,342.30467729291877,1.3065064018813692,0.7839038411288216,144.49960804807944,0,74.73216618761433,5.748628168278025,34.230467729291874,114.71126208518423,38.93389077606481,75.77737130911942,180.8204860203815,146.59001829108965,17.245884504834077,70.29004442121767,0,142.40919780506925,4.964724327149203,21.68800627123073,15.939378102952706,2.3517115233864647,45.20512150509538,42.59210870133264,12.542461458061146,189.18212699242227,231.25163313300237,126.46981970211655
gallic_4,63.754916166425176,85.90353963982612,51.542123783895676,24.21858828399917,62.92693024218588,65.41088801490375,266.61146760505073,7.658869799213414,74.10474021941627,35.81039122334921,219.4162699234113,126.88884288967088,104.94721589732976,11.798799420409853,38.50134547712689,0.206996481059822,95.83937073069758,325.6054647071,329.3314013661768,1.03498240529911,1.448975367418754,171.18608983647277,0.206996481059822,89.4224798178431,5.795901469675016,39.12233492030636,134.5477126888843,41.19229973090457,67.89484578762162,170.15110743117367,159.80128337818257,14.903746636307183,61.27095839370731,0,128.54481473814946,2.897950734837508,27.11653901883668,14.48975367418754,0.620989443179466,52.57710618919479,50.30014489753675,9.935831090871456,158.76630097288347,241.56489339681227,119.4369695715173
gallic_5,69.3815987933635,90.3720462543992,46.128707893413775,18.97938662644545,64.22825540472599,64.85671191553544,282.17697335344394,6.6616390145801905,61.463046757164406,32.42835595776772,213.80090497737555,139.39165409753645,83.96178984414279,9.42684766214178,35.570638511814984,0.5027652086475616,92.76018099547511,255.5304172951232,401.20663650075414,3.14228255404726,1.7596782302664655,159.50226244343892,0.5027652086475616,64.47963800904978,5.153343388637506,58.69783810960281,128.95927601809956,39.969834087481146,63.85118149824032,178.35595776772246,154.97737556561086,17.471091000502764,65.61085972850678,0,123.80593262946203,4.776269482151835,23.755656108597286,13.826043237807944,1.7596782302664655,47.008547008547005,38.46153846153846,13.951734539969834,181.37254901960785,238.93916540975363,106.20915032679738
gallic_6,68.87192536047498,85.15691263782867,44.783715012722645,22.561492790500424,69.38083121289228,67.68447837150127,286.17472434266324,6.106870229007633,60.39016115351993,33.24851569126378,206.27650551314673,146.3952502120441,75.82697201017811,6.615776081424936,28.329092451229855,0.33927056827820185,105.17387616624258,308.39694656488547,357.59117896522474,2.205258693808312,1.6963528413910092,161.66242578456317,0.33927056827820185,47.158608990670054,3.9016115351993212,82.44274809160305,133.84223918575063,35.62340966921119,59.37234944868532,165.2247667514843,159.28753180661576,13.740458015267174,74.30025445292621,0.33927056827820185,131.29770992366412,4.580152671755725,28.837998303647158,19.338422391857506,2.205258693808312,37.659033078880405,41.56064461407973,11.874469889737064,177.77777777777777,236.30195080576758,117.38761662425784
gallic_7,67.72100567721004,78.26439578264394,43.87672343876723,14.67964314679643,55.87996755879967,63.50364963503649,300.81103000811027,8.110300081103,56.52879156528791,35.60421735604217,222.54663422546633,137.71289537712894,89.69991889699918,9.81346309813463,36.4963503649635,0.64882400648824,93.10624493106245,289.0510948905109,392.29521492295214,4.13625304136253,2.27088402270884,151.41930251419302,0.64882400648824,69.01865369018653,4.13625304136253,56.36658556366585,130.2514193025142,35.523114355231144,71.45174371451743,193.8361719383617,158.06974858069748,16.95052716950527,63.82806163828061,0,127.41281427412814,4.54176804541768,24.41200324412003,10.62449310624493,2.10867802108678,39.49716139497161,40.957015409570154,13.7875101378751,174.6147607461476,250.68937550689373,124.57420924574208
gallic_8,74.44959443800695,71.98725376593279,62.57242178447277,18.10544611819235,50.984936268829664,59.09617612977984,296.92931633835457,9.269988412514484,54.606025492468135,38.238702201622246,221.17612977983777,136.73232908458866,89.80301274623407,12.746234067207416,43.308227114716104,0.14484356894553882,78.65005793742758,274.76825028968716,405.1274623406721,2.7520278099652375,2.0278099652375436,141.51216685979142,0.28968713789107764,76.04287369640788,5.504055619930475,40.26651216685979,122.24797219003476,36.79026651216686,80.2433371958285,182.93742757821553,158.31402085747393,14.194669756662805,80.67786790266513,0,129.20046349942064,2.46234067207416,19.409038238702202,16.22247972190035,0.43453070683661643,37.07995365005794,50.984936268829664,10.718424101969873,175.11587485515642,247.97219003476246,132.96639629200465
civil_1,68.89282401551564,81.87874188380134,46.715574669027745,16.61185597436546,66.70039632346742,59.87014082131714,293.953959018467,12.227000590268995,56.15987857323552,29.26047727464373,208.7865755965933,141.7488827051185,75.89172780166962,7.757821064170672,33.055063664727214,0.08432414200185513,94.61168732608145,266.04266801585294,388.73429462855216,0.42162071000927565,0.42162071000927565,157.60182140146725,0.16864828400371026,61.89392022936167,4.553503668100177,61.13500295134497,127.75107513281053,37.10262248081626,60.544733957331985,162.49262163757484,159.3726283835062,13.1545661522894,70.15768614554347,0.16864828400371026,133.82241335694408,4.469179526098322,23.442111476515727,12.564297158276414,0.5059448520111308,40.644236444894176,36.596677628805125,11.383759170250443,164.51640104561938,233.91516991314614,128.42566826882538
civil_2,69.86836395197453,78.54766382178504,49.03804426442933,18.515839722262402,64.2268190365977,68.42181397367278,295.2408505713872,11.283089830753651,56.12613915810791,29.220309561695355,204.10820193837696,133.51656299725155,82.16403876753941,6.943439895848401,30.52220454216693,0.5786199913207001,97.78677853319832,269.2029509619557,401.2729639809055,4.628959930565601,4.628959930565601,147.54809778677853,0.28930999566035004,68.71112396933313,3.6163749457543757,56.270794155938084,129.03225806451613,31.96875452046868,61.62302907565456,168.81238246781425,148.8499927672501,14.610154780847678,67.55388398669173,0.28930999566035004,152.61102271083465,4.484304932735426,24.15738463763923,14.754809778677853,1.3018949804715751,42.38391436424128,39.346159409807605,12.151019817734701,191.95718212064224,217.41646173875304,130.1894980471575
civil_3,68.4161778326644,78.54276011114541,45.56962025316456,21.920345785736338,72.182772460636,64.0938561284347,301.4510651435628,9.323865390552639,54.09076875578882,30.93547391170114,206.23649274467428,114.54152516208705,105.09416486569928,8.521148502624266,34.64032108675517,0.5557270762581044,89.78079654214264,251.065143562828,424.1432540907687,3.0873726458783572,1.7906761346094473,149.86106823093547,0.7409694350108058,95.46156221055881,7.039209632602655,21.735103426983635,125.10033961099104,32.293917875887615,70.76258104353195,178.07965421426366,160.91386230318,15.128125964803951,66.50200679221982,0.06174745291756715,137.51157764742203,5.125038592158074,25.192960790367398,14.201914171040444,0.4939796233405372,40.629824019759184,40.13584439641865,10.867551713491817,173.63383760419882,250.63291139240505,124.85334979932077
alexandrine_1,76.87379884689302,75.59256886611148,55.41319666880205,26.58552210121717,77.83472133247919,75.27226137091608,272.5816784112748,8.327994875080078,51.569506726457405,28.18705957719411,202.75464445868036,132.92761050608584,83.27994875080077,13.132607303010891,32.99167200512492,0.3203074951953876,93.85009609224856,281.5502882767457,384.3689942344651,3.2030749519538757,1.9218449711723256,148.30237027546445,1.2812299807815504,84.56117873158233,3.5233824471492636,37.79628443305574,127.48238308776426,31.390134529147986,70.46764894298526,170.0832799487508,145.73991031390136,18.57783472133248,61.49903907751442,0.3203074951953876,151.50544522741833,6.406149903907751,26.58552210121717,17.29660474055093,1.6015374759769379,39.71812940422806,35.87443946188341,12.812299807815503,201.7937219730942,208.52017937219733,126.20115310698272
alexandrine_2,81.62001486252167,67.99603666088679,62.051027991082485,21.55065642804062,60.93633886549418,50.9041367351994,294.64949219717613,8.917513004706464,67.25291057716126,35.546197671538266,205.1027991082487,126.45528858062917,91.77607134010404,8.422095615556106,39.881099826603915,0.49541738915035916,84.34481050284865,205.35050780282387,471.5135001238543,1.3623978201634876,1.238543472875898,158.65741887540253,0.49541738915035916,84.71637354471142,7.183552142680208,32.32598464206094,124.72132771860292,31.582858558335396,70.349269259351,168.5657666584097,169.18503839484765,22.789199900916522,68.61530839732474,0,135.868218974486,2.353232598464206,17.71117166212534,14.862521674510775,0.9908347783007183,48.5509041367352,45.20683675997027,8.050532573693337,193.33663611592766,234.70398810998265,123.7304929403022
